,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,peak_deflect,sag,stim_amp,v_baseline,cell_id,norm_stim_amp
3,,0.0,,,,,,"(-87.95166, 2223)",0.1156666949391365,-250.0000037252903,-64.33516693115234,13d02022.abf,-1.6666666666666667
4,,0.0,,,,,,"(-79.42505, 2625)",0.06587663292884827,-200.00000298023224,-60.261226654052734,13d02022.abf,-1.3333333333333333
5,,0.0,,,,,,"(-76.10474, 2358)",0.11647458374500275,-150.00000223517418,-61.10126876831055,13d02022.abf,-1.0
6,,0.0,,,,,,"(-70.45288, 2890)",0.050874583423137665,-100.00000149011612,-60.188575744628906,13d02022.abf,-0.6666666666666666
7,,0.0,,,,,,"(-66.33911, 2333)",0.14226631820201874,-50.00000074505806,-60.75664138793945,13d02022.abf,-0.3333333333333333
8,,0.0,,,,,,"(-60.095215, 6208)",0.48329082131385803,0.0,-60.802974700927734,13d02022.abf,0.0
9,,0.0,,,,,,"(-55.15747, 5872)",-5.845060348510742,50.00000074505806,-61.665809631347656,13d02022.abf,0.3333333333333333
10,,0.0,,,,,,"(-45.092773, 2189)",-6.293735027313232,100.00000149011612,-59.46966552734375,13d02022.abf,0.6666666666666666
11,,1.6669444907484579,,,0.0063,,,"(64.34326, 1725)",-5.370487213134766,150.00000223517418,-60.23236083984375,13d02022.abf,1.0
12,,3.3338889814969157,0.1366,0.0,0.0024000000000000132,0.1366,0.1366,"(64.801025, 1686)",-5.898427963256836,200.00000298023224,-62.522315979003906,13d02022.abf,1.3333333333333333
13,0.47378578321003534,3.3338889814969157,0.08180000000000001,0.47378578321003534,-9.999999999998899e-05,0.15545,0.15545,"(65.12451, 1674)",-1.368661880493164,250.0000037252903,-60.52923583984375,13d02022.abf,1.6666666666666667
14,0.15423986195979253,6.667777962993831,0.0572,0.3179028926033011,-0.00020000000000000573,0.10490000000000002,0.10820000000000002,"(66.33301, 1673)",-1.1355525255203247,300.00000447034836,-58.08383560180664,13d02022.abf,2.0
0,,0.0,,,,,,"(-105.98755, 1940)",0.1423271894454956,-400.0000059604645,-58.64878845214844,13d02049.abf,-8.0
1,,0.0,,,,,,"(-101.77002, 1958)",0.13548360764980316,-350.0000052154064,-57.745445251464844,13d02049.abf,-7.0
2,,0.0,,,,,,"(-98.19336, 2037)",0.15011513233184814,-300.00000447034836,-58.339378356933594,13d02049.abf,-6.0
3,,0.0,,,,,,"(-93.7439, 2133)",0.15569163858890533,-250.0000037252903,-58.27547836303711,13d02049.abf,-5.0
4,,0.0,,,,,,"(-89.21509, 2177)",0.15644749999046326,-200.00000298023224,-58.27275466918945,13d02049.abf,-4.0
5,,0.0,,,,,,"(-83.95386, 2332)",0.15741848945617676,-150.00000223517418,-59.31048583984375,13d02049.abf,-3.0
6,,0.0,,,,,,"(-77.63672, 2418)",0.16987723112106323,-100.00000149011612,-58.784461975097656,13d02049.abf,-2.0
7,,0.0,,,,,,"(-69.940186, 2860)",0.10201739519834518,-50.00000074505806,-59.07421875,13d02049.abf,-1.0
8,,0.0,,,,,,"(-59.28955, 5383)",0.7034508585929871,0.0,-59.474876403808594,13d02049.abf,0.0
9,0.03001452280041315,13.335555925987663,0.06109999999999999,0.12857592148545796,0.01150000000000001,0.07981428571428571,0.08300000000000002,"(76.24512, 1775)",-4.770088195800781,50.00000074505806,-59.080078125,13d02049.abf,1.0
10,0.022092171274209007,21.67027837972995,0.0335,0.12685281710972254,0.00520000000000001,0.04776666666666667,0.04899999999999999,"(76.44653, 1712)",-6.613945960998535,100.00000149011612,-59.68476486206055,13d02049.abf,2.0
11,0.018644265523194866,28.33805634272378,0.0232,0.12140856260187324,0.002700000000000008,0.037062500000000005,0.0388,"(76.257324, 1687)",-4.5471882820129395,150.00000223517418,-60.29965591430664,13d02049.abf,3.0
12,0.017552726939156004,31.671945324220697,0.018199999999999994,0.15573798836510552,0.0022000000000000075,0.03163888888888889,0.03284999999999999,"(75.81787, 1683)",-3.934648036956787,200.00000298023224,-61.445743560791016,13d02049.abf,4.0
13,0.016023075806965523,38.33972328721453,0.014399999999999996,0.15687874392250126,0.0014000000000000123,0.026654545454545455,0.02805000000000002,"(76.33667, 1675)",-1.1956844329833984,250.0000037252903,-60.46281814575195,13d02049.abf,5.0
14,0.01943404846892742,41.673612268711445,0.010800000000000004,0.18439010655109114,0.0010000000000000009,0.024420833333333333,0.025900000000000006,"(76.5625, 1672)",-0.21680474281311035,300.00000447034836,-62.11996078491211,13d02049.abf,6.0
0,,0.0,,,,,,"(-95.40405, 2303)",0.09137967228889465,-400.0000059604645,-60.695579528808594,13d03005.abf,-4.0
1,,0.0,,,,,,"(-92.52319, 2436)",0.1040656566619873,-350.0000052154064,-62.13434982299805,13d03005.abf,-3.5
2,,0.0,,,,,,"(-89.91089, 2752)",0.08364858478307724,-300.00000447034836,-59.85627365112305,13d03005.abf,-3.0
3,,0.0,,,,,,"(-86.8042, 2760)",0.10627158731222153,-250.0000037252903,-61.0152473449707,13d03005.abf,-2.5
4,,0.0,,,,,,"(-83.1543, 3442)",0.12651672959327698,-200.00000298023224,-60.94327163696289,13d03005.abf,-2.0
5,,0.0,,,,,,"(-79.44946, 3573)",0.15945307910442352,-150.00000223517418,-61.4180793762207,13d03005.abf,-1.5
6,,0.0,,,,,,"(-74.35913, 3599)",0.09175693243741989,-100.00000149011612,-61.063758850097656,13d03005.abf,-1.0
7,,0.0,,,,,,"(-69.42139, 5053)",0.13837721943855286,-50.00000074505806,-60.86076736450195,13d03005.abf,-0.5
8,,0.0,,,,,,"(-60.17456, 7322)",4.39892053604126,0.0,-61.85739517211914,13d03005.abf,0.0
9,,0.0,,,,,,"(-53.216553, 4631)",-26.16138458251953,50.00000074505806,-63.16141128540039,13d03005.abf,0.5
10,,1.6669444907484579,,,0.2978,,,"(58.97827, 4639)",-26.286962509155273,100.00000149011612,-63.44407653808594,13d03005.abf,1.0
11,0.31262085695427627,6.667777962993831,0.04049999999999998,0.4685205867793641,0.07650000000000001,0.11826666666666669,0.14880000000000004,"(58.807373, 2426)",-36.40692138671875,150.00000223517418,-61.68558120727539,13d03005.abf,1.5
12,0.14831378989268412,10.001666944490747,0.03409999999999999,0.3279370957617876,0.05160000000000001,0.09292,0.10210000000000002,"(58.08716, 2177)",-9.492194175720215,200.00000298023224,-63.419654846191406,13d03005.abf,2.0
13,0.11727799503693499,13.335555925987663,0.01849999999999999,0.32259260835458925,0.03870000000000001,0.07468571428571429,0.0827,"(57.51953, 2048)",-12.304126739501953,250.0000037252903,-62.5711784362793,13d03005.abf,2.5
14,0.1037964884517055,15.00250041673612,0.01419999999999999,0.30313088533875654,0.03040000000000001,0.064325,0.07005000000000003,"(57.41577, 1965)",-11.109649658203125,300.00000447034836,-62.28017807006836,13d03005.abf,3.0
0,,0.0,,,,,,"(-86.77368, 2351)",0.11776286363601685,-400.0000059604645,-53.1395378112793,13d03007.abf,-8.0
1,,0.0,,,,,,"(-83.23364, 2404)",0.08741884678602219,-350.0000052154064,-52.29935073852539,13d03007.abf,-7.0
2,,0.0,,,,,,"(-80.68237, 2379)",0.12303801625967026,-300.00000447034836,-52.75358581542969,13d03007.abf,-6.0
3,,0.0,,,,,,"(-77.716064, 2692)",0.09841690957546234,-250.0000037252903,-52.39173889160156,13d03007.abf,-5.0
4,,0.0,,,,,,"(-74.85962, 3089)",0.10440763831138611,-200.00000298023224,-52.05762481689453,13d03007.abf,-4.0
5,,0.0,,,,,,"(-70.50171, 3153)",0.06353975087404251,-150.00000223517418,-53.20431137084961,13d03007.abf,-3.0
6,,0.0,,,,,,"(-65.55176, 5060)",0.0657467246055603,-100.00000149011612,-51.3380012512207,13d03007.abf,-2.0
7,,0.0,,,,,,"(-61.053467, 3445)",0.2192656397819519,-50.00000074505806,-52.64559555053711,13d03007.abf,-1.0
8,,0.0,,,,,,"(-52.075195, 1683)",0.13322284817695618,0.0,-53.12409591674805,13d03007.abf,0.0
9,0.07611007444841912,6.667777962993831,0.1371,0.12369559131166055,0.02410000000000001,0.16140000000000002,0.16110000000000002,"(60.168457, 1901)",0.655734121799469,50.00000074505806,-51.90605545043945,13d03007.abf,1.0
10,0.06423108642309432,10.001666944490747,0.06790000000000002,0.16446385367063526,0.014399999999999996,0.09656,0.10359999999999997,"(59.28955, 1805)",2.807575225830078,100.00000149011612,-53.002384185791016,13d03007.abf,2.0
11,0.04512431260133831,13.335555925987663,0.0532,0.16325387070563302,0.014200000000000018,0.07385714285714287,0.07559999999999995,"(59.783936, 1802)",-4.3608222007751465,150.00000223517418,-55.7426643371582,13d03007.abf,3.0
12,0.03561790955131085,16.66944490748458,0.0403,0.15565230930812915,0.0067000000000000115,0.06104444444444444,0.0615,"(59.64966, 1728)",-0.8217514157295227,200.00000298023224,-55.061790466308594,13d03007.abf,4.0
13,0.03155641127017366,20.003333888981494,0.03359999999999999,0.16526327338304708,0.006500000000000006,0.053436363636363636,0.055300000000000016,"(59.472656, 1725)",-7.915836334228516,250.0000037252903,-56.43574142456055,13d03007.abf,5.0
14,0.02918853396548814,21.67027837972995,0.03320000000000001,0.15487331042443583,0.0040999999999999925,0.047683333333333335,0.04929999999999998,"(59.80835, 1701)",-4.670409202575684,300.00000447034836,-55.13174057006836,13d03007.abf,6.0
0,,0.0,,,,,,"(-96.42944, 2192)",0.22949974238872528,-400.0000059604645,-55.49906921386719,13d03008.abf,-4.0
1,,0.0,,,,,,"(-93.71948, 2233)",0.24977542459964752,-350.0000052154064,-56.61568832397461,13d03008.abf,-3.5
2,,0.0,,,,,,"(-89.84375, 2303)",0.27998703718185425,-300.00000447034836,-56.736873626708984,13d03008.abf,-3.0
3,,0.0,,,,,,"(-86.09009, 2391)",0.29589059948921204,-250.0000037252903,-56.789913177490234,13d03008.abf,-2.5
4,,0.0,,,,,,"(-82.04956, 2494)",0.3023199439048767,-200.00000298023224,-57.51687240600586,13d03008.abf,-2.0
5,,0.0,,,,,,"(-77.01416, 2636)",0.3152156472206116,-150.00000223517418,-57.7452507019043,13d03008.abf,-1.5
6,,0.0,,,,,,"(-71.85669, 2719)",0.3362116515636444,-100.00000149011612,-57.26927185058594,13d03008.abf,-1.0
7,,0.0,,,,,,"(-65.704346, 2753)",0.2903335690498352,-50.00000074505806,-57.8185920715332,13d03008.abf,-0.5
8,,0.0,,,,,,"(-57.196045, 6484)",2.02461838722229,0.0,-58.301170349121094,13d03008.abf,0.0
9,,0.0,,,,,,"(-48.217773, 3374)",-15.555261611938477,50.00000074505806,-58.6577033996582,13d03008.abf,0.5
10,0.09604422283977246,6.667777962993831,0.1344,0.15685962772872827,0.06970000000000001,0.17113333333333333,0.18120000000000003,"(60.144043, 2359)",-31.003276824951172,100.00000149011612,-58.657203674316406,13d03008.abf,1.0
11,0.048921217155937835,10.001666944490747,0.0821,0.13581057683399905,0.030799999999999994,0.10448000000000002,0.11099999999999999,"(61.743164, 1969)",-7.628564357757568,150.00000223517418,-57.96477127075195,13d03008.abf,1.5
12,0.05391626377328395,13.335555925987663,0.0471,0.1951259499588722,0.021600000000000008,0.07927142857142858,0.08610000000000001,"(61.828613, 1877)",-14.603837966918945,200.00000298023224,-58.416786193847656,13d03008.abf,2.0
13,0.05127470786065259,15.00250041673612,0.03920000000000001,0.1975055019839293,0.016399999999999998,0.0665,0.07215000000000002,"(61.132812, 1825)",-5.880154132843018,250.0000037252903,-58.98724365234375,13d03008.abf,2.5
14,0.041460469288591914,18.336389398233035,0.031700000000000006,0.18741408208987237,0.011200000000000015,0.056999999999999995,0.060450000000000004,"(61.712646, 1773)",-9.569185256958008,300.00000447034836,-58.66286849975586,13d03008.abf,3.0
0,,0.0,,,,,,"(-86.77368, 2351)",0.11776286363601685,-400.0000059604645,-53.1395378112793,13d03029.abf,-8.0
1,,0.0,,,,,,"(-83.23364, 2404)",0.08741884678602219,-350.0000052154064,-52.29935073852539,13d03029.abf,-7.0
2,,0.0,,,,,,"(-80.68237, 2379)",0.12303801625967026,-300.00000447034836,-52.75358581542969,13d03029.abf,-6.0
3,,0.0,,,,,,"(-77.716064, 2692)",0.09841690957546234,-250.0000037252903,-52.39173889160156,13d03029.abf,-5.0
4,,0.0,,,,,,"(-74.85962, 3089)",0.10440763831138611,-200.00000298023224,-52.05762481689453,13d03029.abf,-4.0
5,,0.0,,,,,,"(-70.50171, 3153)",0.06353975087404251,-150.00000223517418,-53.20431137084961,13d03029.abf,-3.0
6,,0.0,,,,,,"(-65.55176, 5060)",0.0657467246055603,-100.00000149011612,-51.3380012512207,13d03029.abf,-2.0
7,,0.0,,,,,,"(-61.053467, 3445)",0.2192656397819519,-50.00000074505806,-52.64559555053711,13d03029.abf,-1.0
8,,0.0,,,,,,"(-52.075195, 1683)",0.13322284817695618,0.0,-53.12409591674805,13d03029.abf,0.0
9,0.07611007444841912,6.667777962993831,0.1371,0.12369559131166055,0.02410000000000001,0.16140000000000002,0.16110000000000002,"(60.168457, 1901)",0.655734121799469,50.00000074505806,-51.90605545043945,13d03029.abf,1.0
10,0.06423108642309432,10.001666944490747,0.06790000000000002,0.16446385367063526,0.014399999999999996,0.09656,0.10359999999999997,"(59.28955, 1805)",2.807575225830078,100.00000149011612,-53.002384185791016,13d03029.abf,2.0
11,0.04512431260133831,13.335555925987663,0.0532,0.16325387070563302,0.014200000000000018,0.07385714285714287,0.07559999999999995,"(59.783936, 1802)",-4.3608222007751465,150.00000223517418,-55.7426643371582,13d03029.abf,3.0
12,0.03561790955131085,16.66944490748458,0.0403,0.15565230930812915,0.0067000000000000115,0.06104444444444444,0.0615,"(59.64966, 1728)",-0.8217514157295227,200.00000298023224,-55.061790466308594,13d03029.abf,4.0
13,0.03155641127017366,20.003333888981494,0.03359999999999999,0.16526327338304708,0.006500000000000006,0.053436363636363636,0.055300000000000016,"(59.472656, 1725)",-7.915836334228516,250.0000037252903,-56.43574142456055,13d03029.abf,5.0
14,0.02918853396548814,21.67027837972995,0.03320000000000001,0.15487331042443583,0.0040999999999999925,0.047683333333333335,0.04929999999999998,"(59.80835, 1701)",-4.670409202575684,300.00000447034836,-55.13174057006836,13d03029.abf,6.0
0,,0.0,,,,,,"(-87.335205, 2419)",0.10604114085435867,-400.0000059604645,-60.88139343261719,13d03040.abf,-4.0
1,,0.0,,,,,,"(-84.57031, 2595)",0.12514613568782806,-350.0000052154064,-61.077491760253906,13d03040.abf,-3.5
2,,0.0,,,,,,"(-81.63452, 2674)",0.07426831871271133,-300.00000447034836,-61.187705993652344,13d03040.abf,-3.0
3,,0.0,,,,,,"(-79.8645, 2666)",0.12223107367753983,-250.0000037252903,-62.45615005493164,13d03040.abf,-2.5
4,,0.0,,,,,,"(-76.05591, 2654)",0.13953746855258942,-200.00000298023224,-61.2489013671875,13d03040.abf,-2.0
5,,0.0,,,,,,"(-69.70215, 5823)",0.04107073321938515,-150.00000223517418,-58.639217376708984,13d03040.abf,-1.5
6,,0.0,,,,,,"(-66.59546, 2353)",0.1934180110692978,-100.00000149011612,-58.98871994018555,13d03040.abf,-1.0
7,,0.0,,,,,,"(-63.55591, 3762)",0.25895604491233826,-50.00000074505806,-59.21324157714844,13d03040.abf,-0.5
8,,0.0,,,,,,"(-59.509277, 3600)",0.8692722320556641,0.0,-60.16510009765625,13d03040.abf,0.0
9,,0.0,,,,,,"(-54.437256, 4405)",-7.292835712432861,50.00000074505806,-60.4813346862793,13d03040.abf,0.5
10,-0.0006271778506762039,8.33472245374229,0.12260000000000001,0.10046257188968037,0.0552,0.13195,0.12555,"(64.62402, 2211)",-36.76422882080078,100.00000149011612,-59.79678726196289,13d03040.abf,1.0
11,0.016295199730295622,11.668611435239205,0.07950000000000002,0.06572690326239368,0.0358,0.08945000000000002,0.0915,"(64.49585, 2018)",-17.121755599975586,150.00000223517418,-60.95840835571289,13d03040.abf,1.5
12,0.02856794145818568,15.00250041673612,0.04999999999999999,0.10270430197737851,0.020500000000000018,0.0659125,0.06670000000000001,"(65.130615, 1865)",-5.3522515296936035,200.00000298023224,-60.45297622680664,13d03040.abf,2.0
13,0.027728108604853714,18.336389398233035,0.03570000000000001,0.1325453476044003,0.017199999999999993,0.055830000000000005,0.05705000000000002,"(65.00244, 1832)",-10.797667503356934,250.0000037252903,-61.363075256347656,13d03040.abf,2.5
14,0.025663285189183614,20.003333888981494,0.03180000000000002,0.11834710100715434,0.015399999999999997,0.04971818181818182,0.05180000000000007,"(65.01465, 1814)",-5.744648456573486,300.00000447034836,-61.76097106933594,13d03040.abf,3.0
0,,0.0,,,,,,"(-116.73584, 2091)",0.04106263071298599,-400.0000059604645,-68.1538314819336,20131211_600_1_0190.abf,-4.0
1,,0.0,,,,,,"(-112.31079, 2149)",0.02199714072048664,-350.0000052154064,-67.95330047607422,20131211_600_1_0190.abf,-3.5
2,,0.0,,,,,,"(-107.72705, 2278)",0.020905891433358192,-300.00000447034836,-68.1773681640625,20131211_600_1_0190.abf,-3.0
3,,0.0,,,,,,"(-103.09448, 2251)",0.03132357448339462,-250.0000037252903,-68.6273422241211,20131211_600_1_0190.abf,-2.5
4,,0.0,,,,,,"(-98.40088, 3063)",0.02112535387277603,-200.00000298023224,-68.73231506347656,20131211_600_1_0190.abf,-2.0
5,,0.0,,,,,,"(-93.28613, 4533)",0.026336895301938057,-150.00000223517418,-68.29017639160156,20131211_600_1_0190.abf,-1.5
6,,0.0,,,,,,"(-87.18872, 3249)",0.014286012388765812,-100.00000149011612,-69.47926330566406,20131211_600_1_0190.abf,-1.0
7,,0.0,,,,,,"(-79.62036, 5484)",0.06960199028253555,-50.00000074505806,-69.2085189819336,20131211_600_1_0190.abf,-0.5
8,,0.0,,,,,,"(-66.80908, 1984)",1.798179030418396,0.0,-68.17048645019531,20131211_600_1_0190.abf,0.0
9,,0.0,,,,,,"(-52.630615, 6128)",-12.865801811218262,50.00000074505806,-69.62510681152344,20131211_600_1_0190.abf,0.5
10,0.3217262764249667,6.667777962993831,0.03669999999999998,0.5308775322219873,0.0627,0.14400000000000002,0.1862000000000001,"(67.69409, 2289)",-8.142354011535645,100.00000149011612,-69.89262390136719,20131211_600_1_0190.abf,1.0
11,0.13811203970560845,11.668611435239205,0.021900000000000003,0.33770460764828375,0.0383,0.08115000000000001,0.09395,"(68.79883, 2045)",-8.2279052734375,150.00000223517418,-69.43012237548828,20131211_600_1_0190.abf,1.5
12,0.06954928119340066,18.336389398233035,0.0204,0.24613423046168667,0.023499999999999993,0.05621,0.06025,"(69.65332, 1897)",-7.133658409118652,200.00000298023224,-71.06393432617188,20131211_600_1_0190.abf,2.0
13,0.057694847163283436,21.67027837972995,0.01680000000000001,0.2589350027103522,0.015100000000000002,0.045991666666666674,0.04980000000000001,"(69.714355, 1814)",-3.700746536254883,250.0000037252903,-69.6439437866211,20131211_600_1_0190.abf,2.5
14,0.04124705236013174,25.004167361226866,0.016100000000000003,0.22535120702010342,0.012399999999999994,0.040028571428571434,0.0421,"(71.276855, 1786)",-4.339872360229492,300.00000447034836,-72.40939331054688,20131211_600_1_0190.abf,3.0
0,,0.0,,,,,,"(-139.9765, 7564)",0.009549165144562721,-400.0000059604645,-69.83071899414062,20131211_600_1_0184.abf,-8.0
1,,0.0,,,,,,"(-135.72693, 4013)",0.012944920919835567,-350.0000052154064,-75.44556427001953,20131211_600_1_0184.abf,-7.0
2,,0.0,,,,,,"(-129.81415, 6816)",0.0001516169577371329,-300.00000447034836,-74.31185913085938,20131211_600_1_0184.abf,-6.0
3,,0.0,,,,,,"(-124.51935, 4584)",0.02512398362159729,-250.0000037252903,-75.01608276367188,20131211_600_1_0184.abf,-5.0
4,,0.0,,,,,,"(-120.0943, 6301)",0.017162440344691277,-200.00000298023224,-76.43592834472656,20131211_600_1_0184.abf,-4.0
5,,0.0,,,,,,"(-112.831116, 6333)",0.01955617032945156,-150.00000223517418,-77.88329315185547,20131211_600_1_0184.abf,-3.0
