,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,peak_deflect,sag,stim_amp,v_baseline,cell_id,norm_stim_amp
0,,0.0,,,,,,"(-94.45801, 1770)",0.07426783442497253,-400.0000059604645,-54.411869049072266,13n05011.abf,-8.0
1,,0.0,,,,,,"(-88.96484, 3827)",0.06779208779335022,-350.0000052154064,-53.585289001464844,13n05011.abf,-7.0
2,,0.0,,,,,,"(-85.7605, 2583)",0.027193855494260788,-300.00000447034836,-51.28496170043945,13n05011.abf,-6.0
3,,0.0,,,,,,"(-82.96509, 2229)",0.05234033986926079,-250.0000037252903,-54.78097915649414,13n05011.abf,-5.0
4,,0.0,,,,,,"(-76.99585, 2898)",0.0636710450053215,-200.00000298023224,-52.6024284362793,13n05011.abf,-4.0
5,,0.0,,,,,,"(-72.75391, 3687)",0.1119777262210846,-150.00000223517418,-53.96484375,13n05011.abf,-3.0
6,,0.0,,,,,,"(-67.767334, 3958)",0.12424692511558533,-100.00000149011612,-53.474178314208984,13n05011.abf,-2.0
7,,0.0,,,,,,"(-62.493896, 1857)",0.5214635729789734,-50.00000074505806,-55.415855407714844,13n05011.abf,-1.0
8,,0.0,,,,,,"(-48.66333, 4657)",1.3622803688049316,0.0,-51.655174255371094,13n05011.abf,0.0
9,,3.3338889814969157,0.2615,0.0,0.094,0.2615,0.2615,"(61.66382, 2275)",-11.669950485229492,50.00000074505806,-52.3080940246582,13n05011.abf,1.0
10,0.12670152797346643,10.001666944490747,0.0499,0.3011221672822436,0.029700000000000004,0.09766,0.10269999999999996,"(62.060547, 1632)",-39.78533935546875,100.00000149011612,-51.811763763427734,13n05011.abf,2.0
11,0.06060996734011666,16.66944490748458,0.02930000000000002,0.23017905489040613,0.010699999999999987,0.06326666666666667,0.066,"(62.89673, 1442)",-8.145340919494629,150.00000223517418,-51.75025939941406,13n05011.abf,3.0
12,0.044615304457531514,21.67027837972995,0.022299999999999986,0.22114222682350287,0.009500000000000008,0.0488,0.05049999999999999,"(63.250732, 1430)",-9.462323188781738,200.00000298023224,-53.230491638183594,13n05011.abf,4.0
13,0.039038378232519495,25.004167361226866,0.016099999999999975,0.21700885150005825,0.008500000000000008,0.04113571428571428,0.044800000000000034,"(62.902832, 1420)",-7.554401397705078,250.0000037252903,-55.060420989990234,13n05011.abf,5.0
14,0.04413573650637239,26.671111851975326,0.015199999999999991,0.2288289143466757,0.0058,0.03785333333333333,0.041000000000000036,"(63.415527, 1393)",-7.054960250854492,300.00000447034836,-54.58782958984375,13n05011.abf,6.0
0,,0.0,,,,,,"(-120.025635, 1489)",0.14308160543441772,-400.0000059604645,-55.27724838256836,13n21007.abf,-8.0
1,,0.0,,,,,,"(-114.25781, 1505)",0.12847073376178741,-350.0000052154064,-54.839691162109375,13n21007.abf,-7.0
2,,0.0,,,,,,"(-108.24585, 1502)",0.13188476860523224,-300.00000447034836,-55.89471435546875,13n21007.abf,-6.0
3,,0.0,,,,,,"(-102.8595, 1527)",0.1339443475008011,-250.0000037252903,-54.815460205078125,13n21007.abf,-5.0
4,,0.0,,,,,,"(-96.2677, 1538)",0.11923501640558243,-200.00000298023224,-56.266658782958984,13n21007.abf,-4.0
5,,0.0,,,,,,"(-89.7522, 1597)",0.10304687917232513,-150.00000223517418,-55.79791259765625,13n21007.abf,-3.0
6,,0.0,,,,,,"(-81.89392, 1851)",0.06710454076528549,-100.00000149011612,-56.496795654296875,13n21007.abf,-2.0
7,,0.0,,,,,,"(-72.769165, 2019)",0.04390808567404747,-50.00000074505806,-54.982662200927734,13n21007.abf,-1.0
8,,0.0,,,,,,"(-50.094604, 6715)",11.821069717407227,0.0,-54.388641357421875,13n21007.abf,0.0
9,0.01821754319312692,16.66944490748458,0.0484,0.07979179078001422,0.010599999999999998,0.05910000000000001,0.06,"(79.39148, 1442)",-4.623510837554932,50.00000074505806,-55.804656982421875,13n21007.abf,1.0
10,0.013466988755926532,26.671111851975326,0.028999999999999998,0.08582570110754136,0.006399999999999989,0.03875333333333333,0.03969999999999996,"(79.74243, 1400)",-7.01147985458374,100.00000149011612,-57.33966064453125,13n21007.abf,2.0
11,0.011201781369341832,35.00583430571761,0.022199999999999998,0.09697933336829156,0.004299999999999998,0.029325,0.029250000000000026,"(81.69556, 1380)",-5.42781925201416,150.00000223517418,-58.6148681640625,13n21007.abf,3.0
12,0.012752164722835291,40.00666777796299,0.016499999999999987,0.12195539599356768,0.002700000000000008,0.02537391304347826,0.02560000000000001,"(83.49609, 1364)",-4.2102251052856445,200.00000298023224,-57.76654052734375,13n21007.abf,4.0
13,0.05709498086579773,31.671945324220697,0.01429999999999998,0.8291995498618676,0.0022000000000000075,0.02888888888888889,0.022949999999999998,"(84.25903, 1360)",-4.158601760864258,250.0000037252903,-58.909942626953125,13n21007.abf,5.0
14,0.03948486244972189,35.00583430571761,0.010799999999999976,0.3266675705963677,0.001700000000000007,0.02198,0.020900000000000016,"(86.22742, 1355)",-4.148153305053711,300.00000447034836,-59.04119873046875,13n21007.abf,6.0
0,,0.0,,,,,,"(-101.14136, 2131)",0.1399856060743332,-400.0000059604645,-56.433048248291016,13d02004.abf,-8.0
1,,0.0,,,,,,"(-96.850586, 2136)",0.14635056257247925,-350.0000052154064,-56.616920471191406,13d02004.abf,-7.0
2,,0.0,,,,,,"(-92.333984, 2265)",0.13135069608688354,-300.00000447034836,-55.92374038696289,13d02004.abf,-6.0
3,,0.0,,,,,,"(-87.56714, 2353)",0.12836825847625732,-250.0000037252903,-56.0877799987793,13d02004.abf,-5.0
4,,0.0,,,,,,"(-82.37915, 2385)",0.10956631600856781,-200.00000298023224,-56.1243782043457,13d02004.abf,-4.0
5,,0.0,,,,,,"(-77.142334, 2699)",0.09904229640960693,-150.00000223517418,-56.486656188964844,13d02004.abf,-3.0
6,,0.0,,,,,,"(-71.41724, 2792)",0.09591417759656906,-100.00000149011612,-57.075889587402344,13d02004.abf,-2.0
7,,0.0,,,,,,"(-65.1001, 3140)",0.09134554117918015,-50.00000074505806,-57.362953186035156,13d02004.abf,-1.0
8,,0.0,,,,,,"(-56.4209, 5364)",0.9711406230926514,0.0,-56.96466064453125,13d02004.abf,0.0
9,0.051316136058577114,11.668611435239205,0.051699999999999996,0.2295881143840337,0.01150000000000001,0.08811666666666668,0.08830000000000005,"(71.42334, 1777)",-1.7065832614898682,50.00000074505806,-57.15043640136719,13d02004.abf,1.0
10,0.04734508053374378,21.67027837972995,0.020600000000000007,0.21930717342747627,0.006000000000000005,0.04854166666666668,0.05130000000000007,"(70.947266, 1722)",-8.035477638244629,100.00000149011612,-57.41534423828125,13d02004.abf,2.0
11,0.04319994503449188,28.33805634272378,0.010599999999999998,0.20519857223000126,0.002600000000000019,0.03456875,0.036599999999999994,"(71.3562, 1689)",-1.99507474899292,150.00000223517418,-57.16168212890625,13d02004.abf,3.0
12,0.030702870762163815,35.00583430571761,0.008700000000000013,0.21798978992211782,0.0022999999999999965,0.02848,0.029049999999999992,"(72.5708, 1685)",-3.65027117729187,200.00000298023224,-57.97752380371094,13d02004.abf,4.0
13,0.0251902261116812,41.673612268711445,0.008199999999999985,0.21808401723987514,0.001600000000000018,0.023825000000000002,0.025199999999999972,"(73.19946, 1678)",-2.3201394081115723,250.0000037252903,-58.0952262878418,13d02004.abf,5.0
14,0.019294285943333243,45.007501250208364,0.009699999999999986,0.19811031585341704,0.001600000000000018,0.022600000000000002,0.023900000000000005,"(72.77222, 1678)",-2.574296474456787,300.00000447034836,-59.0091552734375,13d02004.abf,6.0
0,,0.0,,,,,,"(-98.57178, 2138)",0.0867726132273674,-400.0000059604645,-64.0168228149414,13d02022.abf,-2.6666666666666665
1,,0.0,,,,,,"(-95.06836, 2002)",0.07436320930719376,-350.0000052154064,-63.08845138549805,13d02022.abf,-2.3333333333333335
2,,0.0,,,,,,"(-91.41846, 2317)",0.07101251929998398,-300.00000447034836,-63.141014099121094,13d02022.abf,-2.0
