,adapt,adp_v,avg_rate,cell_id,fast_trough_t,fast_trough_v,fi_fit_slope,first_isi,input_resistance,isi_cv,latency,mean_isi,median_isi,peak_t,peak_v,rheo_first_isi,rheobase_i,sag,stim_amp,tau,threshold_v,trough_t,trough_v,upstroke_downstroke_ratio,v_baseline,vm_for_sag,width
118,0.0311950858253381,,23.69255771314276,15o08020.abf,0.4511884117107008,-39.40312576293945,-0.036937613487992696,0.008874834234418039,81.45751953125021,0.2657561779040991,0.016729572579822494,0.04260721936433453,0.04636335815566661,0.44537386514332344,50.98994064331055,0.009894930123431622,100.0,0.08015162497758865,150.0,0.010206101233457858,-48.03960037231445,0.45241252677751703,-39.90971755981445,2.828598673304735,-61.869473457336426,-93.91361999511719,0.0017341630113230644
119,0.08110304225431528,,9.80381698474873,15o08011.abf,0.5628889115576864,-44.013084411621094,0.04367154838660796,0.020605936958074056,52.57568359375018,0.3311091783754711,0.022136080791594404,0.10687822837164873,0.11873916148117902,0.5576864225237171,47.960792541503906,0.9218606549015607,50.0,0.15164877474308014,100.0,0.012360747966298434,-51.819480895996094,0.7545649291033356,-56.561912536621094,2.5313574603823636,-61.19871940612793,-81.1651840209961,0.0015301438335203477
120,0.07834196807915289,,11.437786482206851,15o08007.abf,0.4466999897990411,-43.000343322753906,0.016067366725004893,0.016831582168723824,63.354492187500206,0.36553470871462435,0.008466795878812605,0.08101130737058512,0.08813628481077218,0.43945730898704477,45.933982849121094,0.039579720493726434,50.0,0.1721307337284088,100.0,0.010205065189281584,-51.209571838378906,0.4743445883913088,-46.186378479003906,3.0701304778749936,-57.84590827094184,-83.9305191040039,0.0020401917780271672
121,0.08205298048314125,,6.535877989832486,15o08002.abf,0.5206569417525247,-41.89799880981445,0.04693948738152422,0.05814546567377327,67.76123046875006,0.29960491453269755,0.04814852596144037,0.16108771367365676,0.16484749566459245,0.5137202897072325,46.22455978393555,0.7605834948485156,100.0,0.2947181463241577,150.0,0.0216789418605894,-45.56621170043945,0.6827501785167805,-53.50688552856445,2.7491525027775583,-63.43805713653565,-88.99272155761719,0.0017341630113230089
122,0.8107574094401756,,2.4509542461871825,15o08017.abf,0.4699581760685504,-33.82568359375,0.08029792958937043,0.04396613281648476,30.72509765625003,0.8107574094401756,0.02591043558094458,0.23232683872283993,0.23232683872283993,0.4648576966234826,56.939697265625,,300.0,0.1856181025505066,350.0,0.008008373301774634,-40.6005859375,1.4723043966132816,-46.270751953125,2.823102601058866,-56.33104057312012,-68.548583984375,0.0017341630113230644
123,0.0048824570689131,,29.169097424785395,2015_11_09_0078.abf,0.386,-52.34418869018555,0.12143869131951472,0.027359999999999995,88.76953125000024,0.07939770771018811,0.011519999999999975,0.03388740740740741,0.034560000000000035,0.38312,19.353809356689453,0.09736,100.0,0.19975893199443817,150.0,0.008289961868223854,-37.74457931518555,0.38760000000000006,-52.59443283081055,1.0861309653665006,-59.42486526489258,-91.44331359863281,0.0009600000000000164
124,0.19212052671270285,,5.83381948495708,2015_11_09_0003.abf,0.5121,-36.6973876953125,0.06048123057873865,0.04149999999999998,37.658691406250064,0.5625076683613157,0.05730000000000002,0.17965,0.18080000000000002,0.5061,49.5147705078125,0.11310000000000009,300.0,0.1328696459531784,350.0,0.01373697573493613,-36.3311767578125,0.5137,-36.9110107421875,2.899100778820769,-63.665762710571286,-78.9031982421875,0.0025000000000000577
125,0.20187514862645076,,6.667222268522377,2015_11_09_0017.abf,0.5368,-39.365821838378906,0.05389338000388921,0.013700000000000045,57.128906250000334,0.6168249752755214,0.04349999999999998,0.1403714285714286,0.17459999999999998,0.5323,45.412010192871094,0.017699999999999938,200.0,0.1275842934846878,250.0,0.012806659185875988,-43.394142150878906,0.5373,-39.793067932128906,2.6175459768557356,-62.58436602637882,-82.7618179321289,0.0019000000000000128
126,0.0694844808505845,,15.62630219184932,2015_11_09_0053.abf,0.43000000000000005,-39.287109375,0.06632497152540491,0.018880000000000008,79.88281250000016,0.3983982147596826,0.0252,0.06636571428571429,0.06251999999999996,0.42256000000000005,24.0673828125,0.03328000000000003,100.0,0.07820979505777359,150.0,0.014273424688105699,-42.259521484375,0.44592000000000004,-41.38671875,2.673869770686979,-56.644372839676706,-87.181396484375,0.0023199999999999887
127,0.0850027274790403,,10.417534794566214,2015_11_09_0085.abf,0.37288000000000004,-44.431251525878906,0.0382357870481881,0.02727999999999997,48.62060546875007,0.322872125829031,0.0252,0.09083555555555556,0.10096000000000005,0.36920000000000003,54.341941833496094,0.07519999999999999,200.0,0.1304309070110321,250.0,0.010913326585292319,-45.597023010253906,0.4096,-46.512550354003906,2.3875964780939594,-63.2197998046875,-81.5284194946289,0.0016799999999999593
128,0.41959741034094555,,4.167013917826485,2015_11_09_0106.abf,0.47112000000000004,-41.138282775878906,0.0381213086438522,0.0756,53.186035156249986,0.6908114917536872,0.04455999999999999,0.23285333333333336,0.16912000000000005,0.46696000000000004,54.363426208496094,,200.0,0.11399872601032257,250.0,0.010877415503144456,-42.468849182128906,1.2796800000000002,-49.298683166503906,2.403778288392242,-63.61886016845703,-83.9544448852539,0.0017599999999999838
129,0.13591986699394337,,7.292274356196349,2015_11_09_0107.abf,0.39488,-43.055763244628906,0.023307803122787706,0.04624,53.12500000000014,0.40046084996791836,0.032399999999999984,0.13941333333333336,0.16636000000000006,0.38976000000000005,51.182518005371094,0.12839999999999996,150.0,0.11088991910219193,200.0,0.01629558965903658,-45.155372619628906,0.43728000000000006,-44.477882385253906,2.7126197794296765,-60.75179733276367,-79.4998550415039,0.0020000000000000018
130,0.022747070632167198,,14.16784732061005,2016_01_28_0019.abf,0.45690000000000003,-45.64799880981445,0.06310049646994396,0.03970000000000001,84.03320312500017,0.15396688920746973,0.018600000000000005,0.0691375,0.07169999999999999,0.45070000000000005,52.08759689331055,0.09640000000000004,50.0,0.20711615681648254,100.0,0.023107135340410822,-46.70390701293945,0.48760000000000003,-50.64677810668945,2.863722311720885,-57.38444232940674,-92.37651062011719,0.0019000000000000128
