,trial,center_freq,3dB_freq,res_sharpness,abf_name,cell_ID,file_time,has_spike
921,avg,1.095995995995996,5.856856856856856,1.064986623580941,2020_01_06_0079.abf,14,2020-01-06 19:36:09.140,0.0
932,avg,0,2.7294294294294295,0,2016_03_01_0006.abf,2016_03_01_0000,2016-03-01 14:06:00.828,0.0
942,avg,0,8.924524524524523,0,2016_02_25_0212.abf,2016_02_25_0255,2016-02-25 16:49:34.578,0.0
946,avg,0,0.5183183183183183,0,2016_02_25_0078.abf,2016_02_25_0073,2016-02-25 13:45:57.000,0.0
956,avg,0,0.4983983983983984,0,2016_03_03_0028.abf,2016_03_03_0002,2016-03-03 13:42:21.265,0.0
967,avg,1.1756756756756757,8.446446446446446,1.0486377532439828,2014_05_12_600__0030.abf,9,2014-05-12 18:36:12.316,0.0
978,avg,0.0,2.6497497497497497,0.0,2014_04_24_600_0184.abf,7,2014-04-24 17:42:10.977,0.0
989,avg,0,3.087987987987988,0,2014_04_24_600_0134.abf,6,2014-04-24 16:19:45.276,0.0
1000,avg,0,5.02022022022022,0,2014_04_08_600_0003.abf,1,2014-04-08 14:03:52.340,0.0
1011,avg,0,2.7294294294294295,0,2016_03_03_0006.abf,19,2016-03-03 13:34:11.671,0.0
1022,avg,0,0.4187187187187187,0,2014_05_12_600__0015.abf,8,2014-05-12 16:57:05.749,0.0
1032,avg,0,5.378778778778778,0,2016_03_01_0054.abf,2016_03_01_0047,2016-03-01 15:38:13.593,0.0
1043,avg,0.7971971971971972,6.155655655655655,1.03285167788026,19129054.abf,19129051,2019-01-29 19:23:19.109,0.0
1053,avg,0,2.2314314314314316,0,2016_03_03_0107.abf,2016_03_03_0103,2016-03-03 16:00:10.453,0.0
1064,avg,0.9167167167167166,5.179579579579579,1.020183144307049,19129059.abf,19129057,2019-01-29 19:45:45.390,0.0
1074,avg,0,5.458458458458458,0,2016_02_25_0009.abf,2016_02_25_0007,2016-02-25 12:44:23.265,0.0
1085,avg,0,5.458458458458458,0,2016_02_25_0088.abf,2016_02_25_0082,2016-02-25 14:07:18.531,0.0
1096,avg,0,0.597997997997998,0,2016_03_03_0058.abf,2016_03_03_0054,2016-03-03 14:47:17.125,0.0
1106,avg,0,0.3589589589589589,0,2016_02_25_0136.abf,2016_02_25_0134,2016-02-25 14:38:40.046,0.0
1121,avg,0,12.131631631631631,0,19122004.abf,19122003,2019-01-22 13:39:58.984,0.0
1132,avg,0,2.3907907907907906,0,2014_04_24_600_0058.abf,4,2014-04-24 13:53:02.657,0.0
1143,avg,0,8.625725725725726,0,2014_04_08_600_0102.abf,3,2014-04-08 16:41:32.098,0.0
1154,avg,2.1716716716716715,7.669569569569569,1.0289698101656963,2014_04_08_600_0055.abf,2,2014-04-08 15:29:49.646,0.0
1165,avg,1.1557557557557558,18.346646646646647,1.0058550000753272,2014_04_24_600_0109.abf,5,2014-04-24 15:12:01.802,0.0
1176,avg,0.0,12.310910910910911,0.0,2016_02_25_0176.abf,14,2016-02-25 15:18:41.375,0.0
1184,avg,1.056156156156156,9.721321321321321,1.0734430555124415,2020_01_27_0019.abf,2020_01_27_0014,2020-01-27 16:36:44.546,0.0
1192,avg,0.7573573573573573,15.338738738738737,1.0191976482237006,2020_01_27_0046.abf,2020_01_27_0045,2020-01-27 21:28:36.593,0.0
1198,avg,0,0.6577577577577577,0,2016_02_29_0025.abf,C1,2016-02-29 14:27:03.093,0.0
1204,avg,1.115915915915916,5.139739739739739,1.253913899851029,2020_01_28_0035.abf,2020_01_28_0029,2020-01-28 21:15:18.937,0.0
1208,avg,0.7175175175175175,1.833033033033033,1.0524947898102048,2020_01_27_0011.abf,2020_01_27_0008,2020-01-27 14:14:32.078,0.0
1212,avg,2.4107107107107106,8.605805805805804,1.3549568651177915,2020_01_28_0014.abf,2020_01_28_0006-Good,2020-01-28 17:41:20.484,0.0
1222,avg,0,0.7175175175175175,0,2016_03_03_0078.abf,2016_03_03_0100,2016-03-03 14:51:33.781,0.0
1232,avg,0,7.151651651651651,0,2016_02_25_0234.abf,2016_02_25_0255,2016-02-25 16:56:47.531,0.0
1242,avg,0,2.5103103103103104,0,2016_03_01_0078.abf,2016_03_01_0047,2016-03-01 15:47:12.609,0.0
1251,avg,0,2.1915915915915916,0,2016_03_03_0131.abf,2016_03_03_0103,2016-03-03 16:10:52.921,0.0
1261,avg,0,0.5183183183183183,0,2016_02_25_0156.abf,2016_02_25_0134,2016-02-25 14:42:10.187,0.0
1268,avg,0.0,14.66146146146146,0.0,2016_02_25_0199.abf,2,2016-02-25 15:29:19.234,0.0
1271,avg,0.0,10.05995995995996,0.0,2019_11_28_0036.abf,2019_11_28_0032,2019-11-28 13:55:58.687,0.0
1276,avg,1.1358358358358358,11.454354354354354,1.0360483265143736,2020_01_06_0099.abf,2020_01_06_0101,2020-01-06 20:48:20.296,0.0
1281,avg,0,5.219419419419419,0,2020_01_06_0104.abf,2020_01_06_0108,2020-01-06 21:06:05.437,0.0
1294,avg,0.0,10.996196196196195,0.0,2020_01_27_0035.abf,2020_01_27_0038,2020-01-27 19:36:51.000,0.0
1299,avg,0.8171171171171171,16.713213213213216,1.0297396149609972,2020_01_06_0114.abf,2020_01_06_0116,2020-01-06 21:29:46.890,0.0
1302,avg,1.0163163163163162,9.004204204204203,1.0763118125474078,2019_11_28_0008.abf,2019_11_28_0007,2019-11-28 12:37:14.593,0.0
1307,avg,1.056156156156156,8.366766766766766,1.08678917688948,2020_01_06_0072.abf,2020_01_06_0065,2020-01-06 18:54:10.515,0.0
1312,avg,0,3.9246246246246246,0,2020_01_06_0026.abf,2020_01_06_0030,2020-01-06 14:05:44.640,0.0
1317,avg,0.9764764764764764,8.028128128128127,1.060127494036106,2020_01_06_0089.abf,2020_01_06_0090,2020-01-06 20:10:31.890,0.0
