,cell_id,expt_date,layer_name,recorder_name,full_path,abf_version,num_sweeps,resp_chan,resp_gain,resp_sampling_rate,rmp_error,rmp_val,stim_amp_vec,stim_chan,stim_duration,stim_end_time,stim_gain,stim_path,stim_sampling_rate,stim_start_time,valid_stim
71,20131211_600_1_0066.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0066.abf,1.8.3.0,15.0,0.0,20.0,10000.0,1.1718716684529085,-70.14159823095291,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0066.abf,10000.0,0.1648,True
70,20131211_600_1_0042.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0042.abf,1.8.3.0,15.0,0.0,20.0,10000.0,0.7365234374999972,-59.2,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0042.abf,10000.0,0.1648,True
69,20131211_600_1_0002.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0002.abf,1.8.3.0,15.0,0.0,20.0,10000.0,1.440426725577204,-62.359616178702204,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0002.abf,10000.0,0.1648,True
73,20131211_600_1_0081.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0081.abf,1.8.3.0,15.0,0.0,20.0,10000.0,0.4327636718750014,-59.4,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0081.abf,10000.0,0.1648,True
74,20131211_600_1_0108.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0108.abf,1.8.3.0,15.0,0.0,20.0,10000.0,2.49267578125,-65.0,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0108.abf,10000.0,0.1648,True
75,20131211_600_1_0160.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0160.abf,1.8.3.0,15.0,0.0,20.0,10000.0,0.897705078125,-62.0,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0160.abf,10000.0,0.1648,True
72,20131211_600_1_0067.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0067.abf,1.8.3.0,15.0,0.0,20.0,10000.0,0.3585449218750014,-58.4,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0067.abf,10000.0,0.1648,True
76,20131211_600_1_0184.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0184.abf,1.8.3.0,15.0,0.0,25.0,10000.0,6.06537162673235,-62.6220673381114,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0184.abf,10000.0,0.1648,True
77,20131211_600_1_0190.abf,2013-12-11,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0190.abf,1.8.3.0,15.0,0.0,20.0,10000.0,0.03266601562499716,-67.8,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20131211_600_1_0190.abf,10000.0,0.1648,True
79,20140127_600_1_0158.abf,2014-01-27,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20140127_600_1_0158.abf,1.8.3.0,15.0,0.0,20.0,10000.0,2.191158676072405,-72.2839321135724,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20140127_600_1_0158.abf,10000.0,0.1648,True
78,20140127_600_1_0118.abf,2014-01-27,L5,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20140127_600_1_0118.abf,1.8.3.0,15.0,0.0,20.0,10000.0,1.259765625,-65.0,[-400. -350. -300. ...  200.  250.  300.],0.0,0.6,0.7647,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/20140127_600_1_0118.abf,10000.0,0.1648,True
173,14304311.abf,2014-03-04,L2.3,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L23/Lihua/Totallayer2-Lihua-lastversion/14304311.abf,2.0.0.0,30.0,0.0,1.0,10000.0,1.7735146968789195e-06,-79.3457048985147,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
172,14304300.abf,2014-03-04,L2.3,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L23/Lihua/Totallayer2-Lihua-lastversion/14304300.abf,2.0.0.0,30.0,0.0,1.0,10000.0,1.434327588640393,-63.38501118239039,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
176,14317348.abf,2014-03-17,L2.3,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L23/Lihua/Totallayer2-Lihua-lastversion/14317348.abf,2.0.0.0,30.0,0.0,1.0,10000.0,1.0223405070065041,-73.364259452319,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
175,14317320.abf,2014-03-17,L2.3,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L23/Lihua/Totallayer2-Lihua-lastversion/14317320.abf,2.0.0.0,30.0,0.0,1.0,10000.0,0.2899186459899994,-73.989869817865,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
